gene_name,sample_name,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
Haemophilus influenzae PBP3 conferring resistance to beta-lactam antibiotics,App1_platelet_bag_culture,Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics,ARO:3004446,cephalosporin; cephamycin; penam,beta-lactam antibiotic,antibiotic target alteration,protein variant,1,Strict,92.4714,52.37,Klebsiella pneumoniae (chromosome or plasmid),,,,,,5800012,0.0,0.0
Klebsiella pneumoniae KpnE,App1_platelet_bag_culture,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3004580,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,aminoglycoside antibiotic; macrolide antibiotic; beta-lactam antibiotic; disinfecting agents and antiseptics; rifamycin antibiotic; peptide antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.1736,99.17,Klebsiella pneumoniae (chromosome or plasmid),200.0,ARO:3004580|ID:3283|Name:Klebsiella_pneumoniae_KpnE|NCBI:AP006725.1,100.0,65.0,Klebsiella pneumoniae (chromosome): 13; Klebsiella pneumoniae (chromosome or plasmid): 29; Klebsiella (chromosome or plasmid): 43; ,5800012,58.83,19.12
Klebsiella pneumoniae KpnF,App1_platelet_bag_culture,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3004583,macrolide antibiotic; aminoglycoside antibiotic; cephalosporin; tetracycline antibiotic; peptide antibiotic; rifamycin antibiotic; disinfecting agents and antiseptics,aminoglycoside antibiotic; macrolide antibiotic; beta-lactam antibiotic; disinfecting agents and antiseptics; rifamycin antibiotic; peptide antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.0909,100.0,Klebsiella pneumoniae (chromosome or plasmid),122.0,ARO:3004583|ID:3286|Name:Klebsiella_pneumoniae_KpnF|NCBI:AP006725.1,100.0,45.3,Klebsiella pneumoniae (chromosome): 3; Klebsiella pneumoniae (chromosome or plasmid): 8; Klebsiella (chromosome or plasmid): 48; ,5800012,35.89,13.33
Klebsiella pneumoniae KpnG,App1_platelet_bag_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004588,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,aminoglycoside antibiotic; macrolide antibiotic; fluoroquinolone antibiotic; peptide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7442,99.74,Klebsiella pneumoniae (chromosome or plasmid),474.0,ARO:3004588|ID:3298|Name:Klebsiella_pneumoniae_KpnG|NCBI:ACWO01000051.1,100.0,54.59,Klebsiella pneumoniae (chromosome or plasmid): 112; Klebsiella (chromosome or plasmid): 47; ,5800012,139.43,16.06
Klebsiella pneumoniae KpnH,App1_platelet_bag_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004597,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; penam; peptide antibiotic; penem,aminoglycoside antibiotic; macrolide antibiotic; fluoroquinolone antibiotic; peptide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,1,Strict,97.8558,94.02,Klebsiella (chromosome or plasmid),144.0,ARO:3004597|ID:3299|Name:Klebsiella_pneumoniae_KpnH|NCBI:ASTU01000063.1,55.95,13.62,Klebsiella pneumoniae (chromosome or plasmid): 3; Klebsiella (chromosome or plasmid): 62; ,5800012,42.36,4.01
Klebsiella pneumoniae OmpK37,App1_platelet_bag_culture,General Bacterial Porin with reduced permeability to beta-lactams,ARO:3004122,monobactam; carbapenem; cephalosporin; cephamycin; penam; penem,beta-lactam antibiotic,reduced permeability to antibiotic,protein homolog,0,,,,,813.0,ARO:3004122|ID:2785|Name:Klebsiella_pneumoniae_OmpK37|NCBI:AJ011502.1,100.0,60.69,Klebsiella pneumoniae (chromosome): 3; Klebsiella pneumoniae (chromosome or plasmid): 240; Klebsiella (chromosome or plasmid): 8; ,5800012,239.16,17.85
Klebsiella pneumoniae acrA,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004041,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,beta-lactam antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics; rifamycin antibiotic; phenicol antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,99.7494,95.24,Klebsiella pneumoniae (chromosome),527.0,ARO:3004041|ID:2659|Name:Klebsiella_pneumoniae_acrA|NCBI:AJ318073.1,99.92,59.23,Klebsiella pneumoniae (chromosome): 196; Salmonella enterica (chromosome): 35; Klebsiella (chromosome): 82; ,5800012,155.03,17.42
LptD,App1_platelet_bag_culture,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3005059,peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic,rifamycin antibiotic; aminocoumarin antibiotic; peptide antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.8723,100.0,Klebsiella pneumoniae (chromosome),1165.0,ARO:3005059|ID:3799|Name:LptD|NCBI:CP007727.1,100.0,69.62,Klebsiella pneumoniae (chromosome): 297; Klebsiella quasipneumoniae (chromosome): 2; Klebsiella (chromosome): 275; ,5800012,342.7,20.48
MdtK,App1_platelet_bag_culture,multidrug and toxic compound extrusion (MATE) transporter,ARO:3001327,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,20.0,ARO:3001327|ID:1752|Name:MdtK|NCBI:CP014358.1,15.86,0.1,,5800012,5.88,0.03
MexB,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000378,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,sulfonamide antibiotic; macrolide antibiotic; diaminopyrimidine antibiotic; beta-lactam antibiotic; phenicol antibiotic; tetracycline antibiotic; fluoroquinolone antibiotic; peptide antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,36.0,ARO:3000378|ID:1925|Name:MexB|NCBI:L11616.1,17.89,0.76,Klebsiella pneumoniae (chromosome): 14; Klebsiella (chromosome): 16; ,5800012,10.59,0.22
MuxB,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004074,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,beta-lactam antibiotic; aminocoumarin antibiotic; tetracycline antibiotic; macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,118.0,ARO:3004074|ID:2718|Name:MuxB|NCBI:AE004091.2,45.37,0.47,,5800012,34.71,0.14
MuxC,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004075,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,beta-lactam antibiotic; aminocoumarin antibiotic; tetracycline antibiotic; macrolide antibiotic,antibiotic efflux,protein homolog,0,,,,,35.0,ARO:3004075|ID:2720|Name:MuxC|NCBI:AE004091.2,8.23,0.77,,5800012,10.3,0.23
OmpA,App1_platelet_bag_culture,General Bacterial Porin with reduced permeability to peptide antibiotics,ARO:3005044,peptide antibiotic,peptide antibiotic,reduced permeability to antibiotic,protein homolog,1,Strict,94.9333,99.72,Klebsiella (chromosome or plasmid),423.0,ARO:3005044|ID:3787|Name:OmpA|NCBI:FO834906.1,100.0,49.62,Klebsiella pneumoniae (chromosome or plasmid): 2; Klebsiella quasipneumoniae (chromosome or plasmid): 1; Klebsiella (chromosome or plasmid): 174; ,5800012,124.43,14.6
PmrF,App1_platelet_bag_culture,pmr phosphoethanolamine transferase,ARO:3003578,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.6904,83.69,,,,,,,5800012,0.0,0.0
SHV-224,App1_platelet_bag_culture,SHV beta-lactamase,ARO:3005240,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Perfect,99.6516,100.0,Klebsiella pneumoniae (chromosome or plasmid),304.0,ARO:3005240|ID:3962|Name:SHV-224|NCBI:NG_062296.1,100.0,44.21,Klebsiella pneumoniae (chromosome): 17; Klebsiella pneumoniae (chromosome or plasmid): 62; Escherichia coli (chromosome or plasmid): 1; ,5800012,89.43,13.01
TolC,App1_platelet_bag_culture,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000237,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,macrolide antibiotic; disinfecting agents and antiseptics; beta-lactam antibiotic; phenicol antibiotic; tetracycline antibiotic; aminoglycoside antibiotic; fluoroquinolone antibiotic; peptide antibiotic; rifamycin antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,152.0,ARO:3000237|ID:826|Name:TolC|NCBI:FJ768952.1,29.97,2.9,,5800012,44.71,0.85
YojI,App1_platelet_bag_culture,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3003952,peptide antibiotic,peptide antibiotic,antibiotic efflux,protein homolog,0,,,,,102.0,ARO:3003952|ID:2424|Name:YojI|NCBI:U00096.3,33.27,1.54,,5800012,30.0,0.45
acrB,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000216,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,beta-lactam antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics; rifamycin antibiotic; phenicol antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9048,91.52,Klebsiella pneumoniae (chromosome),742.0,ARO:3000216|ID:1104|Name:acrB|NCBI:U00096.3,94.6,21.98,Klebsiella pneumoniae (chromosome): 372; Klebsiella quasipneumoniae (chromosome): 1; Klebsiella (chromosome): 3; ,5800012,218.27,6.47
acrD,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000491,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9037,91.13,Klebsiella pneumoniae (chromosome),224.0,ARO:3000491|ID:1427|Name:acrD|NCBI:AP009048.1,43.77,4.36,Klebsiella pneumoniae (chromosome): 26; Klebsiella (chromosome): 132; ,5800012,65.89,1.28
arnA,App1_platelet_bag_culture,pmr phosphoethanolamine transferase,ARO:3002985,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,200.0,ARO:3002985|ID:1643|Name:arnA|NCBI:AE004091.2,56.71,2.43,,5800012,58.83,0.71
bacA,App1_platelet_bag_culture,undecaprenyl pyrophosphate related proteins,ARO:3002986,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,10.0,ARO:3002986|ID:1820|Name:bacA|NCBI:U00096.3,8.52,0.59,,5800012,2.94,0.17
baeR,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000828,aminoglycoside antibiotic; aminocoumarin antibiotic,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,1,Strict,99.5851,91.67,Klebsiella pneumoniae (chromosome),70.0,ARO:3000828|ID:1337|Name:baeR|NCBI:AP009048.1,76.21,4.41,Klebsiella pneumoniae (chromosome): 48; Klebsiella (chromosome): 5; ,5800012,20.59,1.3
cpxA,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000830,aminoglycoside antibiotic; aminocoumarin antibiotic,aminoglycoside antibiotic; aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,104.0,ARO:3000830|ID:152|Name:cpxA|NCBI:BA000007.3,35.15,8.23,,5800012,30.59,2.42
emrR,App1_platelet_bag_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000516,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,98.8701,92.57,Klebsiella pneumoniae (chromosome or plasmid),75.0,ARO:3000516|ID:1330|Name:emrR|NCBI:U00096.3,70.24,6.82,Klebsiella pneumoniae (chromosome or plasmid): 42; Klebsiella (chromosome or plasmid): 33; ,5800012,22.06,2.01
eptB,App1_platelet_bag_culture,pmr phosphoethanolamine transferase,ARO:3005047,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,96.8696,99.46,Klebsiella pneumoniae (chromosome),806.0,ARO:3005047|ID:3791|Name:eptB|NCBI:FO203501.1,100.0,63.34,Klebsiella pneumoniae (chromosome): 134; Klebsiella (chromosome): 50; ,5800012,237.1,18.63
leuO,App1_platelet_bag_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3003843,nucleoside antibiotic; disinfecting agents and antiseptics,nucleoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,95.873,83.44,,64.0,ARO:3003843|ID:5921|Name:leuO|NCBI:LR730402.1,28.89,0.16,,5800012,18.83,0.05
marA,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump; General Bacterial Porin with reduced permeability to beta-lactams,ARO:3000263,fluoroquinolone antibiotic; monobactam; carbapenem; cephalosporin; glycylcycline; cephamycin; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,rifamycin antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics; beta-lactam antibiotic; phenicol antibiotic; tetracycline antibiotic,antibiotic efflux; reduced permeability to antibiotic,protein homolog,1,Strict,96.875,92.74,Klebsiella pneumoniae (chromosome or plasmid),,,,,,5800012,0.0,0.0
mdtA,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000792,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,0,,,,,42.0,ARO:3000792|ID:387|Name:mdtA|NCBI:U00096.1,25.16,0.2,,5800012,12.35,0.06
mdtB,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000793,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9039,90.1,Unknown taxonomy and genomic context,161.0,ARO:3000793|ID:820|Name:mdtB|NCBI:U00096.1,70.09,5.09,,5800012,47.36,1.5
mdtC,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000794,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9025,91.51,Klebsiella pneumoniae (no genomic info),262.0,ARO:3000794|ID:1315|Name:mdtC|NCBI:U00096.1,64.33,6.65,,5800012,77.07,1.96
mdtH,App1_platelet_bag_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3001216,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,0,,,,,41.0,ARO:3001216|ID:375|Name:mdtH|NCBI:U00096.1,27.79,3.31,,5800012,12.06,0.97
msbA,App1_platelet_bag_culture,ATP-binding cassette (ABC) antibiotic efflux pump,ARO:3003950,nitroimidazole antibiotic,nitroimidazole antibiotic,antibiotic efflux,protein homolog,1,Strict,99.8285,92.78,Klebsiella pneumoniae (chromosome),51.0,ARO:3003950|ID:2423|Name:msbA|NCBI:U00096.3,25.56,2.19,Klebsiella (chromosome): 51; ,5800012,15.0,0.64
oqxA,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003922,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,nitrofuran antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7449,99.74,Klebsiella pneumoniae (chromosome or plasmid),428.0,ARO:3003922|ID:2399|Name:oqxA|NCBI:EU370913.1,100.0,49.48,Klebsiella pneumoniae (chromosome): 4; Klebsiella pneumoniae (chromosome or plasmid): 112; Klebsiella quasipneumoniae (chromosome or plasmid): 1; Klebsiella (chromosome or plasmid): 7; ,5800012,125.9,14.56
oqxB,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003923,fluoroquinolone antibiotic; glycylcycline; tetracycline antibiotic; diaminopyrimidine antibiotic; nitrofuran antibiotic,nitrofuran antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.9049,99.71,Klebsiella pneumoniae (chromosome or plasmid),1052.0,ARO:3003923|ID:2400|Name:oqxB|NCBI:EU370913.1,100.0,46.87,Klebsiella pneumoniae (chromosome): 3; Klebsiella pneumoniae (chromosome or plasmid): 54; Salmonella enterica (chromosome or plasmid): 14; Escherichia coli (chromosome or plasmid): 2; Klebsiella quasipneumoniae (chromosome or plasmid): 1; Salmonella enterica (plasmid): 26; Klebsiella (chromosome): 5; Klebsiella (chromosome or plasmid): 32; ,5800012,309.46,13.79
rpoB2,App1_platelet_bag_culture,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3000501,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,60.0,ARO:3000501|ID:2831|Name:rpoB2|NCBI:AP006618.1,8.08,0.67,Klebsiella pneumoniae (chromosome): 24; Klebsiella pneumoniae (chromosome or plasmid): 36; ,5800012,17.65,0.2
rsmA,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3005069,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,diaminopyrimidine antibiotic; phenicol antibiotic; fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Strict,98.3871,85.25,Unknown taxonomy (chromosome or plasmid),,,,,,5800012,0.0,0.0
smeE,App1_platelet_bag_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003056,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic,fluoroquinolone antibiotic; phenicol antibiotic; macrolide antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,202.0,ARO:3003056|ID:876|Name:smeE|NCBI:AJ252200.1,24.3,4.58,Klebsiella pneumoniae (chromosome): 17; Klebsiella quasipneumoniae (chromosome): 1; Klebsiella (chromosome): 93; ,5800012,59.42,1.35
tet(E),App1_platelet_bag_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000173,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,2.2167,100.0,,,,,,,5800012,0.0,0.0
vanG,App1_platelet_bag_culture,glycopeptide resistance gene cluster; Van ligase,ARO:3002909,glycopeptide antibiotic,glycopeptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.7143,38.66,,,,,,,5800012,0.0,0.0
vgaB,App1_platelet_bag_culture,vga-type ABC-F protein,ARO:3000118,streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic,streptogramin antibiotic; pleuromutilin antibiotic,antibiotic target protection,protein homolog,0,,,,,1.0,ARO:3000118|ID:1817|Name:vgaB|NCBI:U82085.2,1.02,0.01,,5800012,0.29,0.0
AcrF,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000502,fluoroquinolone antibiotic; cephalosporin; cephamycin; penam,fluoroquinolone antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,130.0,ARO:3000502|ID:1437|Name:AcrF|NCBI:U00096.1,25.06,1.25,Klebsiella pneumoniae (chromosome): 2; Klebsiella (chromosome): 56; ,6601096,40.69,0.39
ArnT,App1_pt1_blood_culture,pmr phosphoethanolamine transferase,ARO:3005053,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,1,Strict,99.8188,99.27,Klebsiella pneumoniae (chromosome),614.0,ARO:3005053|ID:3795|Name:ArnT|NCBI:FO834906.1,100.0,51.35,Klebsiella pneumoniae (chromosome): 154; Klebsiella (chromosome): 36; ,6601096,192.2,16.07
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin,App1_pt1_blood_culture,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),ARO:3004480,rifamycin antibiotic,rifamycin antibiotic,antibiotic target alteration; antibiotic target replacement,protein homolog,0,,,,,48.0,ARO:3004480|ID:2914|Name:Bifidobacterium_adolescentis_rpoB_mutants_conferring_resistance_to_rifampicin|NCBI:NC_008618.1,10.45,0.25,Klebsiella pneumoniae (chromosome): 38; Klebsiella pneumoniae (chromosome or plasmid): 10; ,6601096,15.03,0.08
CRP,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000518,macrolide antibiotic; fluoroquinolone antibiotic; penam,fluoroquinolone antibiotic; beta-lactam antibiotic; macrolide antibiotic,antibiotic efflux,protein homolog,1,Strict,99.5261,99.05,Klebsiella (chromosome),264.0,ARO:3000518|ID:869|Name:CRP|NCBI:AP009048.1,97.47,49.06,Klebsiella (chromosome): 66; ,6601096,82.64,15.36
Escherichia coli AcrAB-TolC with MarR mutations conferring resistance to ciprofloxacin and tetracycline,App1_pt1_blood_culture,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003378,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; beta-lactam antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics; fluoroquinolone antibiotic; rifamycin antibiotic,antibiotic target alteration; antibiotic efflux,protein overexpression,1,Strict,99.3103,84.03,,,,,,,6601096,0.0,0.0
Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin,App1_pt1_blood_culture,elfamycin resistant EF-Tu,ARO:3003369,elfamycin antibiotic,elfamycin antibiotic,antibiotic target alteration,protein variant,1,Nudged,84.1463,97.97,Unknown taxonomy (chromosome or plasmid),,,,,,6601096,0.0,0.0
Escherichia coli UhpT with mutation conferring resistance to fosfomycin,App1_pt1_blood_culture,antibiotic-resistant UhpT,ARO:3003890,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic target alteration,protein variant,1,Strict,99.7845,95.03,Klebsiella pneumoniae (chromosome or plasmid),,,,,,6601096,0.0,0.0
